# coverage of finite groups of order <= 60
# enumeration: GAP SmallGroups library (CITED, external)
# fixpoint rounds for R1: 2
# UNRESOLVED means: not covered by C1-C5/R1. NOT a height >= 2 claim.
order	id	structure	verdict	monolithic	phase	abelian_normal
1	1	1	C1-abelian	false	0	-
2	1	C2	C1-abelian	true	2	1
3	1	C3	C1-abelian	true	3	1
4	1	C4	C1-abelian	true	4	1
4	2	C2 x C2	C1-abelian	false	2	C2
5	1	C5	C1-abelian	true	5	1
6	1	S3	C3-AsemiE	true	2	C3
6	2	C6	C1-abelian	false	2	C3
7	1	C7	C1-abelian	true	7	1
8	1	C8	C1-abelian	true	8	1
8	2	C4 x C2	C1-abelian	false	2	C4
8	3	D8	C2-nilpotent2	true	2	C2 x C2
8	4	Q8	C2-nilpotent2	true	0	-
8	5	C2 x C2 x C2	C1-abelian	false	2	C2 x C2
9	1	C9	C1-abelian	true	9	1
9	2	C3 x C3	C1-abelian	false	3	C3
10	1	D10	C3-AsemiE	true	2	C5
10	2	C10	C1-abelian	false	2	C5
11	1	C11	C1-abelian	true	11	1
12	1	C3 : C4	C4-dicyclic	false	4	C3
12	2	C12	C1-abelian	false	3	C4
12	3	A4	C5-A4	true	3	C2 x C2
12	4	D12	C3-AsemiE	false	2	C6
12	5	C6 x C2	C1-abelian	false	2	C6
13	1	C13	C1-abelian	true	13	1
14	1	D14	C3-AsemiE	true	2	C7
14	2	C14	C1-abelian	false	2	C7
15	1	C15	C1-abelian	false	3	C5
16	1	C16	C1-abelian	true	16	1
16	2	C4 x C4	C1-abelian	false	4	C4
16	3	(C4 x C2) : C2	C2-nilpotent2	false	2	C4 x C2
16	4	C4 : C4	C2-nilpotent2	false	4	C4
16	5	C8 x C2	C1-abelian	false	2	C8
16	6	C8 : C2	C2-nilpotent2	true	2	C8
16	7	D16	C3-AsemiE	true	2	C8
16	8	QD16	C3-AsemiE	true	2	C8
16	9	Q16	C4-dicyclic	true	0	-
16	10	C4 x C2 x C2	C1-abelian	false	2	C4 x C2
16	11	C2 x D8	C2-nilpotent2	false	2	C2 x C2 x C2
16	12	C2 x Q8	C2-nilpotent2	false	0	-
16	13	(C4 x C2) : C2	C2-nilpotent2	true	2	C4 x C2
16	14	C2 x C2 x C2 x C2	C1-abelian	false	2	C2 x C2 x C2
17	1	C17	C1-abelian	true	17	1
18	1	D18	C3-AsemiE	true	2	C9
18	2	C18	C1-abelian	false	2	C9
18	3	C3 x S3	C3-AsemiE	false	2	C3 x C3
18	4	(C3 x C3) : C2	C3-AsemiE	false	2	C3 x C3
18	5	C6 x C3	C1-abelian	false	2	C3 x C3
19	1	C19	C1-abelian	true	19	1
20	1	C5 : C4	C4-dicyclic	false	4	C5
20	2	C20	C1-abelian	false	4	C5
20	3	C5 : C4	UNRESOLVED	true	4	C5
20	4	D20	C3-AsemiE	false	2	C10
20	5	C10 x C2	C1-abelian	false	2	C10
21	1	C7 : C3	UNRESOLVED	true	3	C7
21	2	C21	C1-abelian	false	3	C7
22	1	D22	C3-AsemiE	true	2	C11
22	2	C22	C1-abelian	false	2	C11
23	1	C23	C1-abelian	true	23	1
24	1	C3 : C8	R1-subdirect	false	8	C3
24	2	C24	C1-abelian	false	3	C8
24	3	SL(2,3)	UNRESOLVED	true	0	-
24	4	C3 : Q8	C4-dicyclic	false	0	-
24	5	C4 x S3	C3-AsemiE	false	2	C12
